window_start	window_end	window_mid	control_maternal_mean	control_paternal_mean	n_controls_maternal	n_controls_paternal	maternal_paternal_delta	abs_delta
23387000	23388000	23387500	NaN	NaN	0	0	NaN	NaN
23388000	23389000	23388500	0.9464628879892036	0.8664503058103976	2	2	0.08001258217880602	0.08001258217880602
23389000	23390000	23389500	0.9421963296806881	0.9465905244219364	2	2	-0.004394194741248247	0.004394194741248247
23390000	23391000	23390500	0.8315793376449598	0.8385376344086021	2	1	-0.0069582967636422355	0.0069582967636422355
23391000	23392000	23391500	0.7166719063545149	0.9033684210526317	2	1	-0.18669651469811677	0.18669651469811677
23392000	23393000	23392500	0.8287653717627402	0.7940588235294117	2	1	0.03470654823332853	0.03470654823332853
23393000	23394000	23393500	0.8087944433744221	0.899645896656535	2	2	-0.09085145328211297	0.09085145328211297
23394000	23395000	23394500	0.9366273684210525	0.9075227968110322	2	2	0.029104571610020336	0.029104571610020336
23395000	23396000	23395500	0.9337196428571428	0.9504896573470675	2	2	-0.016770014489924656	0.016770014489924656
23396000	23397000	23396500	0.9796285714285714	0.981368045112782	2	2	-0.0017394736842105685	0.0017394736842105685
23397000	23398000	23397500	0.9040995202323086	0.9299209682506309	2	2	-0.025821448018322313	0.025821448018322313
23398000	23399000	23398500	0.7833410037878787	0.9307087780898877	2	2	-0.14736777430200898	0.14736777430200898
23399000	23400000	23399500	0.6855982837528605	0.722145	2	2	-0.036546716247139566	0.036546716247139566
23400000	23401000	23400500	0.8214577702702703	0.9467627118644067	2	2	-0.1253049415941364	0.1253049415941364
23401000	23402000	23401500	0.8978758012820514	0.8970606796116505	2	2	0.0008151216704008757	0.0008151216704008757
23402000	23403000	23402500	0.834138665132336	0.8636646934460888	2	2	-0.029526028313752728	0.029526028313752728
23403000	23404000	23403500	0.8692405719280719	0.9328500000000001	2	2	-0.06360942807192815	0.06360942807192815
23404000	23405000	23404500	0.9436424792018614	0.877305432661028	2	2	0.06633704654083339	0.06633704654083339
23405000	23406000	23405500	0.7950228041901692	0.9406204834204361	2	2	-0.1455976792302669	0.1455976792302669
23406000	23407000	23406500	0.8752180298727482	0.9443822817554328	2	2	-0.0691642518826846	0.0691642518826846
23407000	23408000	23407500	0.5244355683603981	0.5984537828947369	2	2	-0.07401821453433888	0.07401821453433888
23408000	23409000	23408500	0.228650174448374	0.18115510945950322	2	2	0.04749506498887077	0.04749506498887077
23409000	23410000	23409500	0.6030276943409829	0.5777460872719735	2	2	0.025281607069009393	0.025281607069009393
23410000	23411000	23410500	0.9269658829504377	0.917049256050706	2	2	0.009916626899731718	0.009916626899731718
23411000	23412000	23411500	0.9202302462657197	0.8753870377895164	2	2	0.04484320847620327	0.04484320847620327
23412000	23413000	23412500	0.9203052865213881	0.9676658824419873	2	2	-0.04736059592059916	0.04736059592059916
23413000	23414000	23413500	0.7741038172353962	0.8495380313199103	2	2	-0.07543421408451412	0.07543421408451412
23414000	23415000	23414500	0.9101616541353383	0.9600617330782424	2	2	-0.04990007894290405	0.04990007894290405
23415000	23416000	23415500	0.9195566161720967	0.9675872147881284	2	2	-0.04803059861603165	0.04803059861603165
23416000	23417000	23416500	0.925652602691905	0.9395943609022555	2	2	-0.013941758210350486	0.013941758210350486
23417000	23418000	23417500	0.9350047445992328	0.9768999622031644	2	2	-0.04189521760393167	0.04189521760393167
23418000	23419000	23418500	0.9776183104587752	0.9651875354282828	2	2	0.012430775030492391	0.012430775030492391
23419000	23420000	23419500	0.9231699474268003	0.9549767595484024	2	2	-0.03180681212160219	0.03180681212160219
23420000	23421000	23420500	0.9643754679019277	0.9764080362594523	2	2	-0.012032568357524531	0.012032568357524531
23421000	23422000	23421500	0.9702846534653464	0.9724633027522935	2	2	-0.0021786492869471097	0.0021786492869471097
23422000	23423000	23422500	0.9460928571428571	0.9548529411764706	2	2	-0.008760084033613502	0.008760084033613502
23423000	23424000	23423500	0.9716716666666667	0.9383181818181818	2	2	0.03335348484848488	0.03335348484848488
