window_start	window_end	window_mid	pwsdel_retained_maternal_mean	n_pwsdel_samples	asdel_retained_paternal_mean	n_asdel_samples	reciprocal_delta	reciprocal_delta_smoothed	abs_reciprocal_delta_smoothed	boundary_threshold	delta_state
17779000	17780000	17779500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17780000	17781000	17780500	0.8437272522522523	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17781000	17782000	17781500	0.7576808271915016	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17782000	17783000	17782500	0.5062694063926941	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17783000	17784000	17783500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17784000	17785000	17784500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17785000	17786000	17785500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17786000	17787000	17786500	0.5019726579520697	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17787000	17788000	17787500	0.4202415254237288	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17788000	17789000	17788500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17789000	17790000	17789500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17790000	17791000	17790500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17791000	17792000	17791500	0.6321422969187674	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17792000	17793000	17792500	0.5863121212121212	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17793000	17794000	17793500	0.6144575163398693	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17794000	17795000	17794500	0.46758064516129033	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17795000	17796000	17795500	0.7727500000000002	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17796000	17797000	17796500	0.7596329113924051	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17797000	17798000	17797500	0.8467007299270072	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17798000	17799000	17798500	0.6904424778761062	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17799000	17800000	17799500	0.473671052631579	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17800000	17801000	17800500	0.6630869565217392	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17801000	17802000	17801500	0.7914233128834355	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17802000	17803000	17802500	0.785386524822695	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17803000	17804000	17803500	0.7524042553191491	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17804000	17805000	17804500	0.8812475247524753	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
