window_start	window_end	window_mid	control_maternal_mean	control_paternal_mean	n_controls_maternal	n_controls_paternal	maternal_paternal_delta	abs_delta	control_maternal_mean_smoothed	control_paternal_mean_smoothed
19335000	19336000	19335500	0.9652089552238808	0.9795505148005148	1	2	-0.014341559576634	0.014341559576634	0.8359002634099617	0.8631645973543745
19336000	19337000	19336500	0.9394040404040404	0.9159108446298228	1	2	0.0234931957742177	0.0234931957742177	0.8369047121925308	0.8631645973543745
19337000	19338000	19337500	0.9945597826086956	0.959919873396635	1	2	0.0346399092120606	0.0346399092120606	0.8364024878012463	0.8585989633517096
19338000	19339000	19338500	0.93305606242497	0.9467567934782608	2	2	-0.0137007310532908	0.0137007310532908	0.8364024878012463	0.8658369283068168
19339000	19340000	19339500	0.94039642272621	0.8738428818385195	2	2	0.0665535408876903	0.0665535408876903	0.8364024878012463	0.8658369283068168
19340000	19341000	19340500	0.7556772291820191	0.8685934065934066	2	2	-0.1129161774113874	0.1129161774113874	0.8364024878012463	0.8658369283068168
19341000	19342000	19341500	0.6531673529411764	0.74225	2	2	-0.0890826470588235	0.0890826470588235	0.8364024878012463	0.8658369283068168
19342000	19343000	19342500	0.8336034864738805	0.8631645973543745	2	2	-0.0295611108804939	0.0295611108804939	0.8364024878012463	0.8659004355506822
19343000	19344000	19343500	0.7889506795408658	0.8685092592592591	2	2	-0.0795585797183933	0.0795585797183933	0.8364024878012463	0.8685513329263328
19344000	19345000	19344500	0.8833917879417879	0.9117021986650962	2	2	-0.0283104107233083	0.0283104107233083	0.8347518749419212	0.8659004355506822
19345000	19346000	19345500	0.8629515537860599	0.8540333293490447	2	2	0.0089182244370151	0.0089182244370151	0.8291038644490614	0.8632281045982398
19346000	19347000	19346500	0.8359002634099617	0.9034495114006516	2	2	-0.0675492479906898	0.0675492479906898	0.8347518749419212	0.8659004355506822
19347000	19348000	19347500	0.8048636582259314	0.8497101143041133	2	2	-0.0448464560781818	0.0448464560781818	0.8359002634099617	0.8685092592592591
19348000	19349000	19348500	0.8486439064023399	0.8191000610079151	2	2	0.0295438453944247	0.0295438453944247	0.8359002634099617	0.8685934065934066
19349000	19350000	19349500	0.8196709677419356	0.9553828431372547	2	2	-0.1357118753953192	0.1357118753953192	0.8359002634099617	0.8685934065934066
19350000	19351000	19350500	0.5522666666666667	0.5973152777777777	2	2	-0.045048611111111	0.045048611111111	0.8359002634099617	0.8685934065934066
19351000	19352000	19351500	0.8390644111640573	0.8330868260527351	2	2	0.0059775851113221	0.0059775851113221	0.8347518749419212	0.8685513329263328
19352000	19353000	19352500	0.7939056136275648	0.846907243545545	2	2	-0.0530016299179801	0.0530016299179801	0.8347518749419212	0.8685513329263328
19353000	19354000	19353500	0.8003695133575224	0.9134578181905312	2	2	-0.1130883048330086	0.1130883048330086	0.8347518749419212	0.8685513329263328
19354000	19355000	19354500	0.8768236094939543	0.8721938697318007	2	2	0.0046297397621536	0.0046297397621536	0.8291038644490614	0.8659004355506822
19355000	19356000	19355500	0.7342114985889536	0.8614233827853515	2	2	-0.1272118841963978	0.1272118841963978	0.8291038644490614	0.8659004355506822
19356000	19357000	19356500	0.8211273573500966	0.8000179487179488	2	2	0.0211094086321477	0.0211094086321477	0.8347518749419212	0.8659004355506822
19357000	19358000	19357500	0.6939039715471251	0.8632916118421052	2	2	-0.1693876402949801	0.1693876402949801	0.8370597437454527	0.8659004355506822
19358000	19359000	19358500	0.8246042424242424	0.9046526364173616	2	2	-0.0800483939931191	0.0800483939931191	0.8370597437454527	0.8659004355506822
19359000	19360000	19359500	0.7351147849811615	0.8320496453900708	2	2	-0.0969348604089093	0.0969348604089093	0.8384437137180234	0.8677427407869529
19360000	19361000	19360500	0.6344843680413289	0.8407393939393939	2	2	-0.206255025898065	0.206255025898065	0.8384437137180234	0.8677427407869529
19361000	19362000	19361500	0.9019374069926592	0.9580463814919472	2	2	-0.056108974499288	0.056108974499288	0.8384437137180234	0.8721802681992337
19362000	19363000	19362500	0.8773231377172299	0.935674658372797	2	2	-0.058351520655567	0.058351520655567	0.8384437137180234	0.8721802681992337
19363000	19364000	19363500	0.9275347290984012	0.9087566320420192	2	2	0.0187780970563817	0.0187780970563817	0.8384437137180234	0.8721802681992337
19364000	19365000	19364500	0.8382192240809436	0.8577237580128205	2	2	-0.0195045339318769	0.0195045339318769	0.834881943564669	0.8721802681992337
19365000	19366000	19365500	0.8386682033551032	0.9063068984813192	2	2	-0.0676386951262159	0.0676386951262159	0.8384437137180234	0.8721802681992337
19366000	19367000	19366500	NaN	NaN	0	0	NaN	NaN	0.8388663072595802	0.8721802681992337
19367000	19368000	19367500	0.8502401785714286	0.9248661202185792	2	2	-0.0746259416471506	0.0746259416471506	0.8384437137180234	0.878384755378721
19368000	19369000	19368500	0.8402885452961673	0.9023648351648352	2	2	-0.0620762898686679	0.0620762898686679	0.8384437137180234	0.878384755378721
19369000	19370000	19369500	0.7519957066441442	0.8522666135458168	2	2	-0.1002709069016726	0.1002709069016726	0.8384437137180234	0.8721802681992337
19370000	19371000	19370500	0.9296677516236624	0.9287047077922078	2	2	0.0009630438314546	0.0009630438314546	0.8354488977547576	0.8775973807939108
19371000	19372000	19371500	0.9370140365374308	0.945658	2	2	-0.0086439634625691	0.0086439634625691	0.8354488977547576	0.8775973807939108
19372000	19373000	19372500	0.8844311253471345	0.822053718314588	2	2	0.0623774070325465	0.0623774070325465	0.8384437137180234	0.8799335088426914
19373000	19374000	19373500	0.8102208646616541	0.786128010878011	2	2	0.0240928537836431	0.0240928537836431	0.8394783743256352	0.879966939714798
19374000	19375000	19374500	0.976985910901847	0.9318489190548014	2	2	0.0451369918470456	0.0451369918470456	0.8394783743256352	0.8768723536363343
19375000	19376000	19375500	0.9762240888982516	0.934143576515383	2	2	0.0420805123828685	0.0420805123828685	0.8394783743256352	0.8768723536363343
19376000	19377000	19376500	0.9278278812938344	0.8721666666666666	2	2	0.0556612146271677	0.0556612146271677	0.8394783743256352	0.8768723536363343
19377000	19378000	19377500	0.8219249198717947	0.8845756410256411	2	2	-0.0626507211538464	0.0626507211538464	0.8394783743256352	0.8745027947154471
