window_start	window_end	window_mid	mean_meth_haplotype1	mean_meth_haplotype2	control_maternal_mean	mean_meth_haplotype1_smoothed	mean_meth_haplotype2_smoothed	control_maternal_mean_smoothed
20762000	20763000	20762500	0.9177142857142858	0.9087408759124088	0.9592216666666666	0.9158571428571428	0.912012578616352	0.9393863636363636
20763000	20764000	20763500	0.7076037735849057	0.87599173553719	0.7093221497603521	0.9158571428571428	0.912012578616352	0.9393863636363636
20764000	20765000	20764500	0.9385586592178772	0.9208208333333332	0.9393863636363636	0.9174845360824742	0.912012578616352	0.9393863636363636
20765000	20766000	20765500	0.8605983606557377	0.8741736526946109	0.9550579795597484	0.9158016152222459	0.9103767272643803	0.9387319782902148
20766000	20767000	20766500	0.7045454545454546	0.5000142857142856	0.8166398395721925	0.911210755631713	0.9062646687254352	0.9268731338214307
20767000	20768000	20767500	0.9849624060150376	0.912012578616352	0.938077592944066	0.9042514084507043	0.900954415954416	0.9130207356544824
20768000	20769000	20768500	1.0	0.8887777777777778	0.9501368852459016	0.9042514084507043	0.900954415954416	0.9130207356544824
20769000	20770000	20769500	0.9174845360824742	1.0	0.9103727966101696	0.9042514084507043	0.900954415954416	0.9130207356544824
20770000	20771000	20770500	0.7804390243902439	0.9166666666666666	0.8907499999999999	0.9128936764919413	0.900954415954416	0.9130207356544824
20771000	20772000	20771500	0.9210093023255814	0.8981203703703704	0.9010373158231904	0.9175172680412371	0.9062646687254352	0.9268731338214307
20772000	20773000	20772500	0.9083028169014083	0.742021505376344	0.8826414772727273	0.9176321428571429	0.9096162480120704	0.9387319782902148
20773000	20774000	20773500	0.9444027777777778	0.8477934782608696	0.9400113475177304	0.9193617940199337	0.9096162480120704	0.9387319782902148
20774000	20775000	20774500	0.8421052631578947	0.5418333333333334	0.8175935483870967	0.9193617940199337	0.9096162480120704	0.939698855577047
20775000	20776000	20775500	0.9002000000000001	0.933734939759036	0.9563333333333331	0.9193617940199337	0.9096162480120704	0.9387319782902148
20776000	20777000	20776500	0.98525	0.9585	0.952375	0.9177142857142858	0.9087408759124088	0.938077592944066
20777000	20778000	20777500	0.8234374999999999	0.9375625	0.8926860749185668	0.91755	0.8981203703703704	0.9103727966101696
20778000	20779000	20778500	0.7998000000000001	0.8117101449275361	0.8871752281424785	0.91755	0.8981203703703704	0.9010373158231904
20779000	20780000	20779500	0.98525	0.95325	0.829875974025974	0.91755	0.910491620111732	0.9103727966101696
20780000	20781000	20780500	NaN	NaN	NaN	0.9174845360824742	0.8981203703703704	0.9010373158231904
20781000	20782000	20781500	0.7735660377358491	0.8331666666666666	0.8863090909090909	0.9174845360824742	0.8981203703703704	0.8926860749185668
20782000	20783000	20782500	0.7302645502645502	0.8782375690607734	0.8872881919352508	0.9174845360824742	0.9059963898916968	0.9010373158231904
20783000	20784000	20783500	0.944635359116022	0.910491620111732	0.99585	0.9174845360824742	0.9059963898916968	0.9010373158231904
20784000	20785000	20784500	0.9450801687763716	0.9601428571428572	0.9530869374741402	0.9128936764919413	0.9082440050017144	0.8968616953708786
20785000	20786000	20785500	0.91755	0.878815561959654	0.9532035749751738	0.9083028169014083	0.9059963898916968	0.8926860749185668
20786000	20787000	20786500	0.9514112903225808	0.9911428571428572	0.9534233582321816	0.91755	0.8981203703703704	0.8926860749185668
